,acc_mean,acc_std,loss_mean,loss_std
0,,,,
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,,,,
38,,,,
39,,,,
40,,,,
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,0.11525583967566488,0.011253741006712668,3.536229844093323,0.03748380755373729
50,0.11583454338212805,0.010985489663125163,3.533493917783101,0.03701404150241987
51,0.11624761809905369,0.010913542355410265,3.5307796096801756,0.03755053425406076
52,0.11676509123295543,0.010873085342901205,3.528285233179728,0.0380104475005396
53,0.11715492711712916,0.010589211423040305,3.5250877745946245,0.03825375429120446
54,0.1176251651967565,0.01015432490452024,3.5211818106969197,0.037677471907950635
55,0.11820512014130748,0.009701059166778067,3.517296109199524,0.03707805822375166
56,0.11878814821441966,0.009441893478875862,3.513375681241354,0.0367238328702993
57,0.11941695918639499,0.009296509714887755,3.5092592525482176,0.03652826549689525
58,0.12019807460407414,0.009190761118792254,3.5047549931208293,0.036584747085391285
59,0.1209272412707408,0.009040974838998345,3.5001248296101886,0.03664756057841652
60,0.12160301504035788,0.008967122476983815,3.495510292053223,0.036506965185530385
61,0.12238072194159028,0.00892809652697636,3.4905827442804975,0.03664675164259873
62,0.12324327848851677,0.008884523075586787,3.4855489285786945,0.0366774144471004
63,0.12409766969581443,0.008953745312346937,3.4805214754740392,0.03685370142309177
64,0.12490701310336587,0.009065140997469127,3.475581669807434,0.03698707150894022
65,0.12571567542850967,0.009158980825494527,3.4705519501368203,0.03709163999610128
66,0.1265718569109837,0.009239031429296303,3.4655010890960694,0.037128279957914324
67,0.12737805756429826,0.009331112211086363,3.460571708679199,0.03712103750570092
68,0.12815604425966737,0.009387158280572431,3.4555256811777753,0.03711160630522551
69,0.12894530701140558,0.00944050399260964,3.450578948656718,0.03707333091283826
70,0.12969201984504855,0.00945491827233453,3.4456465848286943,0.037001431727994596
71,0.13046016318102674,0.00953685612598985,3.4406141408284507,0.03700751691118633
72,0.13120521314442155,0.009546961484059556,3.4355119037628175,0.036946689441045004
73,0.13191785109539825,0.009436844984102221,3.4305308834711705,0.03680620233335814
74,0.1325317399948835,0.009263372732375963,3.4257843192418416,0.03665540692953814
75,0.13310814278821145,0.009087045680257465,3.421115460395813,0.03630663993630077
76,0.13366389361520606,0.00896456331665769,3.4165229574839278,0.03598856693848194
77,0.13424617963532604,0.008861757870220649,3.4119551881154377,0.035627709708742246
